DESCRIPCION COMPLETA,PRODUCTO,EMPAQUE,UM,DIAS DE DESPACHO,C. Minimo,C. Ajustado,C. Maximo,C. Promedio,Altura,Largo,Ancho,Volumen (m^3),Condicion,FIN_NUM,Volumen Adaptado,Volumen Ajustado
ACEITE,ACEITE (20L),Bidon de 20L,PZA,Lunes,39,55,55,37,45,2,26,0.00234,S,20,0.004329,0.006435
AZUCAR CANELA,AZUCAR CANELA (1. KG),Bolsa de 1kg,PZA,Lunes,23,30,30,23,18,40,35,0.0252,S,1,0.5796,0.756
MIX DE MASA,MIX DE MASA (40 PACKS),Caja con 40 + 6 Duo-packs,CAJA,Viernes,24,40,40,29,27,35,21,0.019845,S,46,0.012510978,0.017256522
MINI MIX DE MASA,MIX DE MASA (160 PACKS),Caja con 160 + 6 Duo-packs,CAJA,Viernes,28,35,35,12,0,0,0,0,S,166,0,0
CAJA PARA PIZZA,CAJA PARA PIZZA (50 PZA),Paquete de 50 piezas,PZA,Sabados,766,1071,1071,819,4,37,37,0.005476,S,50,0,0.11729592
CATSUP,CATSUP (3KG),Bolsa de 3 kg,PZA,Lunes,76,100,100,77,4,40,24,0.00384,S,3,0.09856,0.128
CATSUP SOBRE 000 sobres de 8 gr c/u),CAJA CATSUP SOBRE,"Caja con 1,000 sobres de 8 gr c/u",PZA,Lunes,82,105,105,92,24,31,23,0.017112,S,1000,0.001574304,0.00179676
JALAPENO EN RODAJA,CAJA JALAPENO EN RODAJA (4 x 3KG),Caja con 4 Bolsas de 3kg c/u,BLS,Lunes,50,88,88,64,18,44,25,0.0198,S,12,0.1056,0.1452
CHORIZO,CHORIZO,Chorizo (Bolsa 1Kg),KG,Lunes,289,410,410,340,5,20,20,0.002,R,1,0.68,0.82
HARINA,HARINA (44KG),Costal de 44 kg,PZA,Lunes,505,700,700,527,13,68,49,0.043316,S,44,0.518807545,0.689118182
JAMON,JAMON (1 KG),Bolsa de 1 kg c/u,KG,Viernes,695,1017,1017,778,7,15,15,0.001575,R,1,1.22535,1.601775
ACEITE MANTEQUILLA,ACEITE MANTEQUILLA,Bidon de 4.9L,PZA,Cada 6 meses,16,20,20,13,33,16,16,0.008448,S,4.9,0.022413061,0
PEPPERONI,PEPPERONI (1 KG),Paquete de 1kg c/u,PZA,Viernes,"1348.00",444.50,1778,"1424.00",8,25,18,0.0036,R,1,5.1264,1.6002
PIZZA EN ALMIBAR,CAJA PI�A EN ALMIBAR (4 X 3KG),Caja con 4 Bolsas de 3 kg c/u,LATA,Lunes,310,420,420,338,19,47,32,0.028576,S,12,0.804890667,0
QUESO,QUESO,Bolsa de 1kg,KG,Lunes,"5631.00","1919.25",7677,5946,9,27,19,0.004617,R,1,27.452682,8.86117725
SALSA PIZZA,SALSA PIZZA (3KG),Bolsa de 3 kg c/u,BLS,Lunes,"1062.00",375.00,1500,"1130.00",15,32,52,0.02496,S,3,9.4016,3.12
VALENTINA,VALENTINA (GAL),Galon,PZA,Lunes,26,26,26,21,32,17,17,0.009248,S,1,0.194208,0.240448
SALSA PICANTE EN SOBRE,CAJA SAYULITA EN SOBRE,Caja con 900 sobres de 10 gr c/u,PZA,Lunes,71,90,90,71,21,34,28,0.019992,S,900,0.001577147,0.0019992
TOCINO,TOCINO (1KG),Bolsa de 1kg,KG,Viernes,180,230,230,180,5,34,17,0.00289,R,1,0.5202,0.6647
PAPEL ENCERADO PERSONALIZADO,PAPEL ENCERADO PERSONALIZADO (Paquete de 1 kg),Paquete de 1kg ,KG,Cada 6 meses,18,1.041666667,25,16,38,8,8,0.002432,S,1,0.038912,0.002533333
BOLSAS DE PAPEL PARA PANITTOS,BOLSAS DE PAPEL PARA PANITTOS (500 PZA),Paquete de 500 bolsas,PAQ,Cada 3 meses,15,2.083333333,25,13,15,37,23,0.012765,S,500,0.00033189,5.31875E-05
QUESO PARMESANO CON AJO,QUESO PARMESANO,Bidon de 2 Kg,PZA,Jueves,28,42,42,25,27,14,16,0.006048,S,2,0.0756,0.127008
MARQUETA ALITAS,MARQUETA ALITAS,Pieza 15 kg,PZA,Viernes,26,40,40,36,11,59,39,0.025311,C,15,0.0607464,0.067496
SALSA ABAL BBQ,SALSA ABAL BBQ,Galon  4.025 kg,PZA,1 vez al mes,19,6.25,25,21,30,15,17,0.00765,S,4.025,0.039913043,0.011878882
SALSA HOT BULL,SALSA HOT BULL,Galon  3.750 lt,PZA,1 vez al mes,6,2.5,10,8,32,13,15,0.00624,S,3.75,0.013312,0.00416
